id,img_src,img_link,img_alt_txt,title,title_link,text
21,multitude_pic.jpg,https://medium.com/@KristinHenry/on-becoming-a-dangerous-artist-6a22e5b1dfd4,should be alt-text for image,Dangerous Artists,https://medium.com/@KristinHenry/on-becoming-a-dangerous-artist-6a22e5b1dfd4,"Generative protest art.</br><a href=""https://medium.com/@KristinHenry/on-becoming-a-dangerous-artist-6a22e5b1dfd4"">article</a> | <a href=""https://www.etsy.com/listing/502118365/protest-art-generative-art-coded-with"">prints</a>"
23,sticker_10.jpg,https://www.etsy.com/shop/artatomic?section_id=22421729,should be alt-text for image,Particle Stickers,https://www.etsy.com/shop/artatomic?section_id=22421729,"Generative art in sticker-form.</br><a href=""https://www.etsy.com/shop/artatomic?section_id=22421729"">stickers</a>"
26,neuro_dark_9z_sm.jpg,https://www.etsy.com/shop/artatomic?section_id=18815927,should be alt-text for image,Neuro Art,https://www.etsy.com/shop/artatomic?section_id=18815927,"Generative Art Nerve Patterns<br><a href=""https://www.etsy.com/shop/artatomic?section_id=18815927"">prints</a>"
29,scarves_1.jpeg,https://www.etsy.com/shop/artatomic?section_id=18632675,should be alt-text for image,Art Atomic Scarves,https://www.etsy.com/shop/artatomic?section_id=18632675,"Wearable Generative Art. Created with code, inspired by Chemistry and Physics.<br><a href=""https://medium.com/@KristinHenry/artatomic-from-code-to-textile-a-creative-journey-62eb2d72765f"">article</a> | <a href=""https://www.etsy.com/shop/artatomic?section_id=18632675"">prints</a>"
30,artAtomicMovie.jpg,https://www.patreon.com/posts/artatomic-video-9155896,should be alt-text for image,Promo for Art Atomic Scarves,https://www.patreon.com/posts/artatomic-video-9155896,"Wearable Generative Art. Created with code, inspired by Chemistry and Physics."
31,runway.jpg,https://www.patreon.com/posts/runway-ready-on-9076159,should be alt-text for image,Code Sketching,https://medium.com/@KristinHenry/runway-ready-dress-on-jupiter-as-imagined-by-someone-on-earth-in-the-1950s-251afd8c8a23,"Generative Art, from drawing prompts<br><a href=""https://kristinhenry.github.io/Sketches2014/"">code</a> |
                <a href=""https://medium.com/@KristinHenry/runway-ready-dress-on-jupiter-as-imagined-by-someone-on-earth-in-the-1950s-251afd8c8a23"">notes</a>"
32,dots_2_June2013_sm.jpg,,should be alt-text for image,Particles,,"Generative Art, created with code, inspired by Chemistry.<br><a href=""https://www.etsy.com/shop/artatomic?section_id=18813608"">prints</a>"
33,selfDrawingCode.jpg,,should be alt-text for image,Self-Drawing Code,,"Generative Art coded in Python<br><a href=""https://github.com/KristinHenry/selfDrawingCode"">code</a>"
34,mystic_rose_art.jpg,https://www.etsy.com/shop/artatomic?section_id=18816103,should be alt-text for image,Mystic Rose Art,https://www.etsy.com/shop/artatomic?section_id=18816103,"Generative Art with Mystic Rose math.<br><a href=""https://www.etsy.com/shop/artatomic?section_id=18816103"">prints</a>"
35,mysticRoseParticles.png,https://www.patreon.com/posts/mystic-rose-13472569,should be alt-text for image,Mystic Rose Particles,https://www.patreon.com/posts/mystic-rose-13472569,Generative Art with Mystic Rose math.
36,randomWalk.jpg,https://www.patreon.com/posts/random-walk-on-13472801,should be alt-text for image,Random Walk,https://www.patreon.com/posts/random-walk-on-13472801,Random walk on a grid.
37,generativeStitches.jpg,https://www.patreon.com/posts/generative-13474615,should be alt-text for image,Generative Stitches,https://www.patreon.com/posts/generative-13474615,Stop motion video of generative embroidery.
38,particleDance.jpg,https://www.patreon.com/posts/particle-dance-13502359,should be alt-text for image,Particle Dance,https://www.patreon.com/posts/particle-dance-13502359,"Generative Animation, created with code, inspired by Chemistry."
39,wandering.jpg,https://www.patreon.com/posts/wandering-13503554,should be alt-text for image,Wandering Geometries,https://www.patreon.com/posts/wandering-13503554,Random walk on a grid.
40,poemColors.jpg,,should be alt-text for image,Poetry Color Stories,,Data Art: using Character Frequencies in Poetry. Inspired by protein folding.
41,insulin.jpg,,should be alt-text for image,Proteins,,Data Art: Visualizing Proteins using Amino Acid Frequencies
45,particleSquares.jpg,https://www.patreon.com/posts/painting-with-10690403,should be alt-text for image,Particle Squares,https://www.patreon.com/posts/painting-with-10690403,"Painting with particles, and code."
46,flowers.jpg,,should be alt-text for image,Generative Flowers,,Geometric generative art.
49,cell_embroidery.jpg,https://www.etsy.com/listing/62149856/diy-embroidery-kit-cell-biology,should be alt-text for image,Cell Biology Embroidery,https://www.etsy.com/listing/62149856/diy-embroidery-kit-cell-biology,Cell Biology embroidery kits.
50,cell_mandala_art.jpg,https://www.etsy.com/listing/72661172/cell-biology-inspired-abstract-art-san,should be alt-text for image,Cell Mandala Art,https://www.etsy.com/listing/72661172/cell-biology-inspired-abstract-art-san,Generative Art with Cell organelle illustrations.
52,adobeAnimation.jpg,,should be alt-text for image,Animation for Adobe Gallery,,My first continually running animated generative art piece.
